"SYMBOL","СTO_1","СTO_2","СTO_3","СTO_4","СTO_5","СTO_6","СTO_7","СTO_8","СTO_9","СTO_10"
"RALGDS",7600.32732673293,7479.51156331795,7294.30611503299,8504.82203600122,7534.07383372648,7106.1460642095,7353.25119773067,7985.9556644791,7759.57931437836,7753.15713367131
"RALGPS1",1021.44784782553,1026.29565394401,1052.46418304448,1114.68170203528,1119.32693588005,1025.76284644395,1021.11981180569,1041.77633289467,1096.55432434444,1025.61357735386
"RALY",6300.60982388245,5986.00770519613,6284.52568097761,6462.06270652786,6201.166717319,6192.91488882079,5927.61389112267,6267.79952370521,6139.14822413513,6368.61390176224
"RAMP1",984.671315920294,706.373625858517,1582.88279427975,695.73620033451,1008.98733550855,637.456302808375,673.79177530808,660.225855620135,1469.02786346359,782.289696390336
"RAMP2",307.874926708937,308.89553638246,324.951647777062,311.367211305937,373.045512157626,309.420294776384,309.380925454036,316.188696142387,318.524307601326,316.276956513621
"RAMP3",242.830045605019,282.032349088547,416.028907929126,274.748723951843,442.081991648827,247.435765335318,248.700973824833,314.544275686327,310.439540779953,323.010769619856
"RAN",6936.02503719896,7424.13333931211,6601.95293631822,7075.26607958664,6517.55651438501,6509.41043964885,7036.30935445786,6912.5838290257,6424.06890853354,6863.39010601325
"RANBP1",1929.82635528338,1902.13776267241,1717.01032996164,1874.51373427143,1671.65995867893,1751.38977466884,2020.07346100346,1885.51660547949,1723.54666950748,1884.3533929093
"RANBP10",2364.83078291625,2353.68797683066,2067.57318458175,2256.36876775012,2368.10191986237,2252.18391724977,2203.87153400655,2241.72960473671,2138.45054449889,2214.04630451825
"RANBP2",5592.75422628312,5403.23387184364,5303.5504806066,5444.31590032798,5497.90127989462,5617.285290748,5265.47543286081,5472.16654375281,5523.9076586648,5301.77380763793
"RANBP3",3196.32081203243,3103.97037287442,3113.15690084159,3205.70341481774,3143.02438977932,3089.50494201836,3148.29664230426,3144.46880553239,3159.89252002565,3146.90800825191
"RANBP6",856.63404287091,880.353313334017,926.526486943573,770.165597980331,931.350187113032,920.482875272759,1007.1178865546,802.87142001976,1021.64077592076,893.733072272664
"RANBP9",2422.25395901005,2482.57762007992,2461.72522942898,2360.05613301924,2331.16472777786,2489.89203794134,2505.24035923656,2532.55888835972,2526.65316939483,2350.04941094793
"RANGAP1",5991.77681155409,5898.62877657708,5436.47014410862,6238.47216199202,5492.07355593338,5628.33981172292,6222.6647690395,5937.94754187258,5600.08544000923,6000.91464330923
"RAP1GAP",1136.16092736143,1065.62066332652,3217.40541523098,1253.43725516393,2461.12813105077,1804.67902396619,2263.45060402225,1149.26213943706,1825.20783112874,2102.51289434655
"RAP1GAP2",1404.00786792584,1559.69365013335,1101.91019256022,1848.91946627236,1924.61391274542,1903.87780161735,1814.6794148185,1807.15360658412,1438.96883817511,1284.83106077039
